numsampled,0.97,lci,hci
44200,4.165,4.1478,4.1787
44300,4.165,4.1473,4.1789
44400,4.1651,4.1472,4.1789
44500,4.1651,4.1471,4.1787
44600,4.1652,4.1478,4.179
44700,4.1652,4.148,4.1786
44800,4.1652,4.1484,4.179
44900,4.1652,4.1476,4.1787
45000,4.1652,4.1474,4.1789
45100,4.1653,4.1482,4.1787
45200,4.1653,4.1482,4.1787
45300,4.1653,4.1482,4.1781
45400,4.1653,4.1479,4.1776
45500,4.1654,4.1478,4.1775
45600,4.1654,4.1484,4.1781
45700,4.1654,4.1486,4.1778
45800,4.1654,4.149,4.1776
45900,4.1654,4.149,4.1779
46000,4.1655,4.1499,4.1777
46100,4.1655,4.15,4.1774
46200,4.1655,4.1507,4.1772
46300,4.1656,4.1509,4.1772
46400,4.1656,4.1505,4.1772
46500,4.1656,4.1508,4.1772
46600,4.1656,4.1511,4.1779
46700,4.1656,4.1509,4.1775
46800,4.1656,4.151,4.1769
46900,4.1656,4.1511,4.1765
47000,4.1657,4.1504,4.1768
47100,4.1658,4.1506,4.1769
47200,4.1657,4.1507,4.1775
47300,4.1658,4.1506,4.1772
47400,4.1658,4.1508,4.1773
47500,4.1659,4.1506,4.1776
47600,4.1659,4.1503,4.1775
47700,4.1659,4.1504,4.1774
47800,4.1659,4.1504,4.1775
47900,4.166,4.1501,4.1782
48000,4.166,4.1506,4.1777
48100,4.166,4.1507,4.1777
48200,4.166,4.1506,4.1776
48300,4.1661,4.1506,4.1777
48400,4.1661,4.1502,4.1781
48500,4.1661,4.1504,4.178
48600,4.1662,4.1504,4.178
48700,4.1662,4.1499,4.178
48800,4.1661,4.1505,4.1781
48900,4.1661,4.1507,4.1782
49000,4.1661,4.1508,4.1783
49100,4.1661,4.1513,4.1784
49200,4.1661,4.1516,4.1777
49300,4.1662,4.1518,4.1784
49400,4.1662,4.1514,4.1786
49500,4.1662,4.1512,4.1786
49600,4.1663,4.1511,4.1784
49700,4.1664,4.1518,4.1788
49800,4.1664,4.1525,4.1785
49900,4.1665,4.1524,4.1787
50000,4.1665,4.1524,4.1785
50100,4.1666,4.1526,4.1791
50200,4.1666,4.1526,4.1791
50300,4.1667,4.1525,4.1787
50400,4.1667,4.1527,4.179
50500,4.1668,4.1527,4.1786
50600,4.1668,4.1531,4.1784
50700,4.1668,4.1525,4.1785
50800,4.1668,4.1534,4.1788
50900,4.1668,4.1534,4.1794
51000,4.1669,4.1536,4.1791
51100,4.1669,4.1531,4.1793
51200,4.1669,4.1527,4.1791
51300,4.1668,4.1527,4.1793
51400,4.1668,4.1531,4.1795
51500,4.1669,4.1531,4.1792
51600,4.1669,4.1535,4.1794
51700,4.167,4.1536,4.1798
51800,4.1669,4.1533,4.1795
51900,4.167,4.1535,4.1796
52000,4.167,4.154,4.1795
52100,4.167,4.1538,4.1793
52200,4.167,4.1537,4.1791
52300,4.167,4.1537,4.1803
52400,4.167,4.1536,4.1801
52500,4.1671,4.1539,4.18
52600,4.1671,4.1539,4.1802
52700,4.1671,4.1536,4.1805
52800,4.1671,4.1538,4.1805
52900,4.1671,4.1538,4.1804
53000,4.1672,4.154,4.1805
53100,4.1672,4.1545,4.18
53200,4.1672,4.1545,4.1803
53300,4.1672,4.1546,4.1799
53400,4.1672,4.1546,4.1796
53500,4.1672,4.1549,4.1802
53600,4.1672,4.1548,4.1801
53700,4.1673,4.1544,4.1798
53800,4.1673,4.1544,4.1797
53900,4.1673,4.1548,4.1802
54000,4.1673,4.1549,4.1802
54100,4.1673,4.1554,4.1798
54200,4.1673,4.1553,4.1799
54300,4.1674,4.155,4.1804
54400,4.1673,4.1552,4.1803
54500,4.1673,4.1553,4.1804
54600,4.1673,4.155,4.1807
54700,4.1674,4.155,4.1806
54800,4.1674,4.1554,4.1803
54900,4.1674,4.1552,4.1798
55000,4.1675,4.1547,4.1799
55100,4.1674,4.1543,4.1796
55200,4.1674,4.1543,4.1793
55300,4.1675,4.1544,4.1799
55400,4.1676,4.1545,4.1799
55500,4.1677,4.1546,4.18
55600,4.1677,4.1551,4.1797
55700,4.1677,4.1551,4.1797
55800,4.1676,4.1548,4.1802
55900,4.1677,4.1548,4.1796
56000,4.1677,4.1548,4.18
56100,4.1677,4.1544,4.1798
56200,4.1678,4.1545,4.1797
56300,4.1678,4.1541,4.1797
56400,4.1678,4.154,4.1798
56500,4.1679,4.1544,4.1795
56600,4.1679,4.1541,4.1797
56700,4.1679,4.1545,4.1799
56800,4.1679,4.1547,4.18
56900,4.1679,4.1544,4.1794
57000,4.1678,4.1544,4.1792
57100,4.1679,4.1545,4.1794
57200,4.1679,4.1547,4.1798
57300,4.1679,4.1543,4.1802
57400,4.1679,4.1547,4.1799
57500,4.1679,4.1558,4.1799
57600,4.168,4.1558,4.1802
57700,4.168,4.1557,4.1797
57800,4.168,4.1559,4.1798
57900,4.168,4.1559,4.18
58000,4.1681,4.1563,4.1799
58100,4.1681,4.1565,4.1802
58200,4.1681,4.1563,4.1799
58300,4.1681,4.1563,4.1792
58400,4.1682,4.1565,4.1794
58500,4.1682,4.1563,4.1793
58600,4.1682,4.1569,4.1792
58700,4.1682,4.157,4.1794
58800,4.1682,4.1566,4.1792
58900,4.1683,4.1569,4.1796
59000,4.1683,4.1572,4.1791
59100,4.1683,4.1569,4.1791
59200,4.1683,4.1573,4.1793
59300,4.1683,4.1568,4.1792
59400,4.1684,4.1566,4.1798
59500,4.1684,4.1568,4.1791
59600,4.1684,4.1567,4.1795
59700,4.1684,4.1565,4.1798
59800,4.1684,4.1566,4.1799
59900,4.1684,4.1564,4.1803
60000,4.1685,4.1565,4.1806
60100,4.1685,4.1565,4.1805
60200,4.1684,4.1565,4.1802
60300,4.1685,4.1569,4.1805
60400,4.1685,4.1567,4.1805
60500,4.1686,4.1569,4.1808
60600,4.1686,4.1568,4.181
60700,4.1686,4.1568,4.1811
60800,4.1686,4.1562,4.1812
60900,4.1687,4.1561,4.1813
61000,4.1687,4.1566,4.1812
61100,4.1687,4.1566,4.1811
61200,4.1687,4.1569,4.1813
61300,4.1688,4.1569,4.1812
61400,4.1688,4.157,4.1813
61500,4.1688,4.157,4.1813
61600,4.1688,4.1574,4.1808
61700,4.1688,4.157,4.1803
61800,4.1688,4.1569,4.1806
61900,4.1688,4.1568,4.1812
62000,4.1688,4.1568,4.1808
62100,4.1688,4.1571,4.1805
62200,4.1688,4.1571,4.1804
62300,4.1688,4.1564,4.1804
62400,4.1689,4.1568,4.1803
62500,4.1689,4.1565,4.1805
62600,4.1688,4.1562,4.1802
62700,4.1689,4.1564,4.18
62800,4.1689,4.1562,4.1801
62900,4.1689,4.1564,4.1802
63000,4.1689,4.1567,4.18
63100,4.1689,4.157,4.1798
63200,4.1689,4.1569,4.1803
63300,4.1689,4.1571,4.1799
63400,4.1689,4.1571,4.1795
63500,4.1689,4.1573,4.1796
63600,4.1689,4.1573,4.1799
63700,4.1689,4.1573,4.1796
63800,4.169,4.1577,4.1795
63900,4.169,4.1575,4.1796
64000,4.169,4.1576,4.18
64100,4.169,4.1578,4.18
64200,4.169,4.1576,4.18
64300,4.1691,4.1575,4.1801
64400,4.1691,4.1578,4.1799
64500,4.1691,4.1579,4.18
64600,4.1691,4.1576,4.1804
64700,4.1692,4.1576,4.1804
64800,4.1692,4.1578,4.1807
64900,4.1692,4.1578,4.1805
65000,4.1692,4.158,4.1804
65100,4.1693,4.1579,4.1805
65200,4.1693,4.1582,4.181
65300,4.1693,4.158,4.1815
65400,4.1693,4.1577,4.181
65500,4.1694,4.1579,4.1809
65600,4.1694,4.1577,4.1815
65700,4.1694,4.1575,4.1817
65800,4.1695,4.1583,4.1817
65900,4.1695,4.1585,4.1812
66000,4.1695,4.1584,4.1814
66100,4.1695,4.1585,4.181
66200,4.1695,4.1583,4.1808
66300,4.1695,4.1583,4.1809
66400,4.1695,4.1585,4.1805
66500,4.1695,4.1587,4.1803
66600,4.1695,4.1585,4.1803
66700,4.1696,4.1589,4.18
66800,4.1695,4.1587,4.1799
66900,4.1695,4.1592,4.18
67000,4.1695,4.1594,4.1803
67100,4.1696,4.1592,4.1802
67200,4.1696,4.1592,4.1808
67300,4.1696,4.1594,4.1807
67400,4.1696,4.1593,4.1809
67500,4.1697,4.1594,4.1807
67600,4.1696,4.1593,4.1806
67700,4.1697,4.1592,4.1806
67800,4.1697,4.1591,4.1807
67900,4.1697,4.1592,4.1808
68000,4.1697,4.1594,4.1807
68100,4.1697,4.1594,4.1806
68200,4.1697,4.1594,4.1806
68300,4.1697,4.1597,4.1806
68400,4.1697,4.1597,4.1805
68500,4.1698,4.1596,4.1806
68600,4.1698,4.1592,4.1809
68700,4.1698,4.1596,4.1812
68800,4.1698,4.1597,4.1811
68900,4.1698,4.1595,4.1814
69000,4.1698,4.1593,4.1814
69100,4.1698,4.1594,4.1809
69200,4.1698,4.1592,4.1809
69300,4.1698,4.159,4.1805
69400,4.1698,4.1591,4.1803
69500,4.1698,4.1596,4.1807
69600,4.1698,4.1598,4.1802
69700,4.1698,4.16,4.1801
69800,4.1698,4.1597,4.1798
69900,4.1698,4.1602,4.1798
70000,4.1699,4.1602,4.1797
70100,4.1699,4.1602,4.1803
70200,4.1699,4.1598,4.1806
70300,4.1699,4.1594,4.1805
70400,4.1699,4.1596,4.1801
70500,4.17,4.1597,4.1802
70600,4.17,4.1602,4.1802
70700,4.17,4.1599,4.1805
70800,4.17,4.1598,4.1806
70900,4.17,4.1594,4.1804
71000,4.17,4.1595,4.1807
71100,4.1701,4.1593,4.1808
71200,4.1701,4.1591,4.181
71300,4.1701,4.1588,4.1809
71400,4.1701,4.1585,4.1808
71500,4.17,4.1585,4.1808
71600,4.1701,4.1586,4.1808
71700,4.1701,4.1581,4.1808
71800,4.1701,4.1583,4.1809
71900,4.1701,4.1588,4.181
72000,4.1702,4.1587,4.181
72100,4.1702,4.1588,4.1807
72200,4.1702,4.1583,4.1809
72300,4.1702,4.1583,4.1806
72400,4.1703,4.158,4.1808
72500,4.1703,4.158,4.1809
72600,4.1703,4.1585,4.1809
72700,4.1703,4.1588,4.1809
72800,4.1704,4.159,4.1813
72900,4.1704,4.1591,4.1813
73000,4.1704,4.1593,4.1815
73100,4.1705,4.159,4.1815
73200,4.1704,4.1593,4.1813
73300,4.1705,4.1593,4.1815
73400,4.1705,4.1591,4.1815
73500,4.1705,4.1598,4.1818
73600,4.1705,4.1599,4.1817
73700,4.1705,4.1595,4.1819
73800,4.1705,4.16,4.182
73900,4.1705,4.1596,4.1821
74000,4.1705,4.1599,4.1817
74100,4.1705,4.1597,4.1817
74200,4.1706,4.1602,4.1818
74300,4.1706,4.1601,4.1819
74400,4.1706,4.16,4.1824
74500,4.1707,4.1598,4.1826
74600,4.1707,4.1597,4.1825
74700,4.1708,4.16,4.1824
74800,4.1708,4.1599,4.1827
74900,4.1708,4.1606,4.1827
75000,4.1708,4.1608,4.183
75100,4.1708,4.1606,4.183
75200,4.1709,4.1607,4.1827
75300,4.1709,4.1606,4.1825
75400,4.1709,4.1606,4.1824
75500,4.1709,4.1607,4.1826
75600,4.1709,4.1606,4.1825
75700,4.171,4.1604,4.1826
75800,4.171,4.1606,4.1829
75900,4.171,4.1608,4.1828
76000,4.171,4.1605,4.1828
76100,4.1711,4.1607,4.1827
76200,4.1711,4.1607,4.1827
76300,4.1711,4.1611,4.1829
76400,4.1712,4.161,4.183
76500,4.1712,4.1607,4.1829
76600,4.1712,4.161,4.1831
76700,4.1712,4.1608,4.1829
76800,4.1712,4.161,4.183
76900,4.1713,4.1609,4.1831
77000,4.1713,4.1609,4.1832
77100,4.1713,4.1608,4.1829
77200,4.1713,4.1611,4.1828
77300,4.1713,4.1611,4.1825
77400,4.1713,4.1609,4.1826
77500,4.1713,4.161,4.1827
77600,4.1713,4.1609,4.1828
77700,4.1714,4.161,4.183
77800,4.1714,4.1611,4.1828
77900,4.1714,4.161,4.1833
78000,4.1714,4.1607,4.1834
78100,4.1714,4.1608,4.1834
78200,4.1714,4.161,4.183
78300,4.1714,4.1612,4.1833
78400,4.1715,4.1616,4.1839
78500,4.1715,4.1613,4.1838
78600,4.1715,4.1616,4.1837
78700,4.1715,4.1614,4.1832
